"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"ATTERBERG, Kurt",1887-1974,Suiten,,"Nr.3 f.Violine,Viola u.Streichorch.",,"11,58","Violine,Viola","Sparf,Mansnerus",Wedin,Sinfonietta Stockholm,, 1810,DC Bis 165,,,72
"AVISON, Charles",1709-1770,Concerti Op.9,,Nr.11 A-Dur,,"7,05",,,Marriner,Ac.St.M-in-the-Fields,, 1836,Dec 6.42755,,,73
"BACH, Carl Philipp Emanuel",1714-1788,Fugen Wq 119,,Nr.7 Fantasie u.Fuge c-moll,,"5,45",Orgel,Alain,,,, 1898,RCA ZL 30713,,,74
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Flote,Streicher u.B.c.",,Wq 166 a-moll,,"23,25",Flote,Nicolet,Zinman,Niederl.Kamorch.,, 1880 (2LP),Ph 6747 444,141,,75
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Flote,Streicher u.B.c.",,Wq 167 A-Dur,,"19,56",Flote,Nicolet,Zinman,Niederl.Kamorch.,, 1880 (2LP),Ph 6747 444,,,76
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Flote,Streicher u.B.c.",,Wq 168 A-Dur,,"17,15",Flote,Nicolet,Zinman,Niederl.Kamorch.,, 1880 (2LP),Ph 6747 444,,,77
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Flote,Streicher u.B.c.",,Wq 169 G-Dur,,"23,08",Flote,Nicolet,Zinman,Niederl.Kamorch.,, 1880 (2LP),Ph 6747 444,,,78
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Oboe,Streicher u.B.c.",,Wq 164 B-Dur,,"24,30",Oboe,Pongracz,Rolla,F-Liszt-Kamorch.,,Q 118,Hek HCD 12 120,,,79
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Oboe,Streicher u.B.c.",,Wq 165 Es-Dur,,"24,14",Oboe,Pongracz,Rolla,F-Liszt-Kamorch.,,Q 118,Hek HCD 12 120,,,80
"BACH, Carl Philipp Emanuel",1714-1788,Konzerte f.Orgel u.Orchester,,Wq 34 G-Dur,,"25,30",Orgel,Alain,Paillard,Kamorch.Paillard,, 1898,RCA ZL 30713,,,81
"BACH, Carl Philipp Emanuel",1714-1788,Konzerte f.Orgel u.Orchester,,Wq 35 Es-Dur,,"17,15",Orgel,Alain,Paillard,Kamorch.Paillard,, 1898,RCA ZL 30713,,,82
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonie Wq 174 C-Dur,,,,"9,10",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,83
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonie Wq 176 D-Dur,,,,"9,50",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,84
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.1 G-Dur,,"11,02",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,85
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.2 B-Dur,,"11,25",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,86
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.3 C-Dur,,"11,07",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,87
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.4 A-Dur,,"12,13",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,88
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.5 h-moll,,"10,49",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,89
"BACH, Carl Philipp Emanuel",1714-1788,Sinfonien Wq 182,(6 Hamburger) f.Streicher u.B.c.,Nr.6 E-Dur,,"9,06",,,Hogwood,Ac.Ancient Music,, 1830 (2LP),Dec 6.35468,,,90
"BACH, Johann Christian",1735-1782,Quintette Op.11,"f.Flote,Oboe,Violine,Viola u.B.c.",Nr.1 C-Dur,,"11,56","Flote,Oboe,Violine,Viola",,,Heidelbg.Barock Ens.,, 1819,Dca 92813,,,91
"BACH, Johann Christian",1735-1782,Quintette Op.11,"f.Flote,Oboe,Violine,Viola u.B.c.",Nr.3 F-Dur,,"9,09","Flote,Oboe,Violine,Viola",,,Heidelbg.Barock Ens.,, 1819,Dca 92813,,,92
"BACH, Johann Christian",1735-1782,Quintette Op.11,"f.Flote,Oboe,Violine,Viola u.B.c.",Nr.4 Es-Dur,,"13,40","Flote,Oboe,Violine,Viola",,,Heidelbg.Barock Ens.,, 1819,Dca 92813,,,93
"BACH, Johann Christian",1735-1782,Quintette Op.11,"f.Flote,Oboe,Violine,Viola u.B.c.",Nr.6 D-Dur,,"11,35","Flote,Oboe,Violine,Viola",,,Heidelbg.Barock Ens.,, 1819,Dca 92813, 74,,94
"BACH, Johann Christian",1735-1782,Konzerte f.Cembalo (Klavier)u.Streicher Op.13,,Nr.4 B-Dur,,"14,35",Klavier,Klinckerfuss*,Faerber,Wurtt.Kamorch.Heilbr.,, 1868,FSM 53034,144,,95
