"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.3 D-Dur,,"11,44",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,120
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.4 D-Dur,,"9,55",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,121
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.5 E-Dur,,"15,09",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,122
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.6 D-Dur,,"8,35",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,123
"BACH, Johann Christoph Friedrich",1732-1795,Konzerte f.Cembalo (Klavier) u.Orchester,,Nr.1 E-Dur,,"15,42",Cembalo,Jaccottet,Faerber,Wurtt.Kamorch.Heilbr.,, 1868,FSM 53034,,,124
"BACH, Johann Sebastian",1685-1750,Arioso,,,,"0,00",,,Koch,Lutticher Sol.,, 1874,MXT DD 6070,,,125
"BACH, Johann Sebastian",1685-1750,"Konzerte f.Violine(n),Streicher u.B.c. Nr.1-4","BWV 1041-1043,1045","Nr.1 BWV 1041 a-moll f.Violine,Str. u.B.c.",,"0,00",Violine,Buchner,Gmur,Frankisches Kamorch.,, 1808,Col 0 534,,,126
"BACH, Johann Sebastian",1685-1750,Magnificat BWV 243a Es-Dur,,,,"40,06",,,Rilling,Bach Colleg.Stgt.,Figural Ch.Ged.K.Stgt., 1862 (2LP),FSM 33014/5,,,127
"BACH, Johann Sebastian",1685-1750,Weihnachts-Oratorium BWV 248,,,,"154,09",,,Ledger,Ac.St.M-in-the-Fields,"King's College Chor,Cambr.", 1792 (3LP),Ang  3840,,,128
"BARBER, Samuel",1910-1981,Konzert f.Klavier u.Orchester Op.38,,,,"28,30",Klavier,Ruskin,Epstein,MIT Symph.Orch.,, 1866,FSM 34683,,,129
"BARSANTI, Francesco",1690-1760,Concerti grossi Op.3,,Nr. 3 D-Dur f.Trompete u.Orchester,,"0,00",Trompete,,Schmid,Nagolder Jug.Orch.,, 1801,FSM 33125,,,130
"BEETHOVEN, Ludwig van",1770-1827,Sinfonien Nr.1-9,,Nr. 5 Op.67 c-moll (Schicksals-Sinfonie),,"33,05",,,Kleiber,Wiener Philharm.,, 1840,DG 2530 516,,,131
"BEETHOVEN, Ludwig van",1770-1827,Sinfonien Nr.1-9,,Nr. 7 Op.92 A-Dur,,"38,19",,,Kleiber,Wiener Philharm.,, 1842,DG 2530 706,,,132
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 1 G-Dur,,"0,45",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,133
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 2 B-Dur,,"0,43",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,134
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 3 G-Dur,,"0,45",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,135
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 4 C-Dur,,"1,53",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,136
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 5 A-Dur,,"0,45",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,137
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr.10 C-Dur,,"0,44",,,Epstein,Suddt.Mozart Orch.,, 1407,Int 120 815,,,138
"BERLIOZ, Hector",1803-1869,Der Romische Karneval Op.9,(Ouverture z.Benvenuto Cellini),,,"9,30",,,Ansermet,Orch.Suisse Romande,, 1837 (2LP),Dec 6.48157,,,139
"BERLIOZ, Hector",1803-1869,Requiem Op.5,,,,"0,00",,,Buchel,NWD Philh.Orch.,Musik V.Gutersloh, 1864 (2LP),FSM 33018/9,,,140
"BIBER, Carl Heinrich",1681-1749,Sonaten f.Trompete u.Streicher,,C-Dur,,"0,00",,,Schmid,Nagolder Jug.Orch.,, 1801,FSM 33125,,,142
"BIBER, Carl Heinrich",1681-1749,Sonaten f.Trompete u.Streicher,,D-Dur (Presto/Adagio/Presto),,"0,00",,,Schmid,Nagolder Jug.Orch.,, 1801,FSM 33125,,,143
"BIBER, Heinrich Ignaz Franz von",1644-1704,Mensa sonora (1660),,Nr.3 a-moll,,"7,55",,,Harnoncourt,Concentus Musicus Wien,, 1853,EMI 037  45574,,,143
"BLODEK, Vilem",1834-1874,Konzert f.Flote u.Orchester (1862),,,,"0,00",Flote,Sebon,Lajovic,RSO Berlin,, 1901,Schw  1 608,,,145
"BOCCHERINI, Luigi",1743-1805,Konzert f.Violine u.Orchester D-Dur,,,,"0,00",Violine,,Kocsis,Westf.Kam.Sol.,, 1806,Chr 73886,,,146
"BOCCHERINI, Luigi",1743-1805,Streichquartette Op.32 (Op.33) Nr.1-6,,Nr.6 G-206 A-Dur,,"14,20",,,,Sequoia Str.quart.,, 1915,TIS No 79004,,,146
"DVORAK, Antonin",1841-1904,Sinfonien Nr.1-9,,Nr.6 Op.60 D-Dur (1880 alte Nr.1),,"43,26",,,Neumann,Tschech.Philh.Orch.,,Q 619,Supra  1 11 1005-2,,,147
"BESOZZI, Carlo",1738-1792,Konzerte f.Oboe u.Orchester,,F-Dur,,"24,15",Oboe,Adamus,Suk,Suk-Kamorch.,,Q 620,Supra  1 11 1581-2,,,148
"BESOZZI, Carlo",1738-1792,Konzerte f.Oboe u.Orchester,,C-Dur,,"20,20",Oboe,Adamus,Suk,Suk-Kamorch.,,Q 620,Supra  1 11 1581-2,,,149
"BOCCHERINI, Luigi",1743-1805,Quintette Op.45 (Op.55),f.Oboe u.Streichquartett,Nr.3 G-433 D-Dur,,"9,45",Oboe,Vogel,,Sequoia Str.quart.,, 1915,TIS No 79004,,,150
"BOCCHERINI, Luigi",1743-1805,Quintette Op.45 (Op.55),f.Oboe u.Streichquartett,Nr.5 G-435 Es-Dur,,"10,19",Oboe,Vogel,,Sequoia Str.quart.,, 1915,TIS No 79004,,,151
"BOCCHERINI, Luigi",1743-1805,Quintette Op.45 (Op.55),f.Oboe u.Streichquartett,Nr.6 G-436 d-moll,,"13,59",Oboe,Vogel,,Sequoia Str.quart.,, 1915,TIS No 79004,,,152
"BODINUS, Sebastian", 18.-Jh.,Sinfonie F-Dur,f.2 Horner u.Orchester,,,"11,27",Horn,"Machata,Sturmann",Machata,Heidelbg.Kamorch.,, 1818,Dca 91049,,,153
"BODINUS, Sebastian", 18.-Jh.,Suite A-Dur,f.Flote u.Orchester,,,"19,36",Flote,,Simon,Heidelbg.Kamorch.,, 1818,Dca 91049,,,154
"BODINUS, Sebastian", 18.-Jh.,Sonate a 4 D-Dur,"f.Flote,Horn,Violine u.B.c.",,,"9,54","Flote,Horn,Violine","Simon,Sturmann,Nagele",,,, 1818,Dca 91049,,,155
"BOIELDIEU, Francois Adrien",1775-1834,Der Kalif von Bagdad,,Ouverture,,"7,32",,,Bonynge,New Philh.Orch.,, 1837 (2LP),Dec 6.48157,,,156
"BOSSI, Marco Enrico",1861-1925,Cantate Domino,,,,"5,40",,,Nilsson,,Motettenchor d.Oscarkirche Stockholm, 1918,Prop ART 002, 58,,157
"BOYCE, William",1711-1779,Concerti grossi,,B-Dur,,"0,00",,,Shepherd,Cantilena Ens.,, 1811,DC Cha 1005,108,,159
UNBEKANNT,    -,Bon Repos,,,,"1,25",,,Vajnar,Colleg.Mus.Pragense,, 1933,Supra  1 11 1854,,,159
"ANTON, Ondrej", um -1812,Jagd auf Schwarzwild mit Hunden,,,,"3,45",,,Vajnar,Colleg.Mus.Pragense,, 1933,Supra  1 11 1854,,,160
"ARTOT, Jean Desiree",1803-1877,Quartette Nr.1-12 f.4 Horner,,Nr.11 (Allegro Pas redouble),,"0,00",Horn,,,Detmold.Hornquart.,, 1946,Mdg G 1101,,,163
"ATTERBERG, Kurt",1887-1974,Konzert f.Horn u.Orchester Op.28,a-moll (1926),,,"19,10",Horn,Linder,Oskamp,Goteborgs Sinf.Orch.,, 1935,DC Cap 1144,,,162
"BACH, Joh.Christoph",1642-1703,"Wie bist du denn, mein Gott in Zorn",(Lamento),,,"0,00",,,Rilling,Bach Colleg.Stgt.,, 2063 (5LP),HV 91511,,,165
"BACH, Carl Philipp Emanuel",1714-1788,"Konzerte f.Violoncello,Streicher u.B.c.",,Wq 171 B-Dur,,"21,43",V'cello,Onczay,Rolla,F-Liszt-Kamorch.,, 1936,Hun 12229,,,164
"BACH, Johann Sebastian",1685-1750,"Konzerte f.Violine(n),Streicher u.B.c. Nr.1-4","BWV 1041-1043,1045","Nr.2 BWV 1042 E-Dur f.Violine,Str. u.B.c.",,"0,00",Violine,Kohlhausen,Kohlhausen,Fonte di Musica,, 1968,Schw 90 012,,,177
"BACH, Johann Sebastian",1685-1750,Kantaten,,Mein Herze schwimmt im Blut BMV 199,,"25,38",,,Winschermann,Dt.Bachsolisten,, 2012,RCA RL 30395,,,166
"BACH, Johann Sebastian",1685-1750,Kantaten,,Jauchzet Gott in allen Landen BWV 51,,"16,39",,,Winschermann,Dt.Bachsolisten,, 2012,RCA RL 30395,,,167
"KRAUS, Joseph Martin",1756-1792,Sinfonien,,"VB 142 c-moll (1783) Larghetto,Allegro/",Andante/Allegro assai,"23,17",,,Halstead,Orch.o.th.Age o.Enlightenm.,,Q 565,Tru MS 419,,,168
"BACH, Johann Sebastian",1685-1750,Kantaten,,Wachet! Betet! Betet! Wachet! BWV 70,,"0,00",,,Rilling,Bach Colleg.Stgt.,Gach.Kant.Stgt., 1872,HV 98653,,,181
"BACH, Wilhelm Friedemann",1710-1784,Sinfonien,,F64 D-Dur,,"11,35",,,Muller-Bruhl,Kolner Kamorch.,,Q 257,Schw CD 316 012,108,,170
"BACH, Wilhelm Friedemann",1710-1784,Sinfonien,,F65 d-moll (z.Geburtstag Friedr.d.Gr.1758),,"13,17",,,Muller-Bruhl,Kolner Kamorch.,,Q 257,Schw CD 316 012,,,171
"BACH, Wilhelm Friedemann",1710-1784,Sinfonien,,F67 F-Dur (Die Dissonanzen),,"14,04",,,Muller-Bruhl,Kolner Kamorch.,,Q 257,Schw CD 316 012, 80,,172
"BEETHOVEN, Ludwig van",1770-1827,Fantasie Op.80 c-moll,"f.Klavier,Chor u.Orchester",,,"20,31",Klavier,Brendel,Haitink,Philharm.Orch.,Philharm.Chor, 1952,Ph 9500 471,,,173
"BEETHOVEN, Ludwig van",1770-1827,Konzerte f.Klavier u.Orchester Nr.1-5,,Nr.2 Op.19 B-Dur,,"30,01",Klavier,Brendel,Haitink,Philharm.Orch.,, 1952,Ph 9500 471,,,174
"BLAVET, Michel",1700-1786,Konzert f.Flote u.Orchester a-moll,,,,"15,11",Flote,Oien,Tonnesen,Norweg.Kamorch.,, 1934,DC Bis 118,,,175
"BLAVET, Michel",1700-1786,Konzert f.Flote u.Orchester a-moll,,,,"13,57",Flote,Hazelzet,Goebel,Musica Antiqua Koln,, 1939,DG 2534 010,,,176
"BOCCHERINI, Luigi",1743-1805,Sinfonien Op.12 Nr.1-6  G 503-508,(Ed.Chevadiere Op.16),Nr.4 G-506 d-moll (La casa del diabolo),,"18,52",,,Kehr,Mainzer Kamorch.,, 1923,BR 670 01004,,,177
"BOCCHERINI, Luigi",1743-1805,Sinfonien Op.12 Nr.1-6  G 503-508,(Ed.Chevadiere Op.16),Nr.1 G-503 D-Dur,,"23,00",,,Kehr,Mainzer Kamorch.,, 1923,BR 670 01004,,,178
"BOCCHERINI, Luigi",1743-1805,Sonaten f.Violoncello u.B.c. G 1-19,,Nr.7 B-Dur (G 12),,"11,07",,"Baumann,Stoll",,,, 1975,Tel 6.42853,,,179
"BOISMORTIER, Joseph Bodin de",1691-1755,Sonaten Op.26,,Nr.6 D-Dur,,"6,18",,,Goebel,Musica Antiqua Koln,, 1939,DG 2534 010,,,180
"BOSSI, Marco Enrico",1881-1925,"Konzert f.Orgel,Streicher,Horner u.Pauken",Op.100 a-moll (1900),,,"0,00",Orgel,Geffert,Breuer,Orch.Beeth.Halle Bonn,, 1948,MXT MI 16166,,,200
"BOTTESINI, Giovanni Petronius",1821-1889,Konzert G-Dur Duo concertant,"(f.V'cello,Kontrabass u.Orchester)",,,"13,16","V'cello,Kontrabass","Baumann,Stoll",Lopez-Cobos,RSO Berlin,, 1975,Tel 6.42853,,,182
"BOZZA, Eugene",1905-,Suite in F f.4 Horner,,,,"0,00",Horn,,,Detmold.Hornquart.,, 1946,Mdg G 1101,,,202
"BRAHMS, Johannes",1833-1897,Lieder Op.62 Nr.1-7,,Nr.2 Von alten Liebesliedern,,"2,12",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,184
"BRAHMS, Johannes",1833-1897,Lieder Op.62 Nr.1-7,,Nr.3 Waldesnacht,,"6,25",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,185
"BRAHMS, Johannes",1833-1897,Lieder Op.62 Nr.1-7,,Nr.6 Es geht ein Wehen,,"2,56",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,186
"BRAHMS, Johannes",1833-1897,Lieder Op.93a,,Nr.1 Der bucklichte Fiedler,,"1,45",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,187
"BRAHMS, Johannes",1833-1897,Lieder Op.93a,,Nr.4 Fahre wohl,,"3,16",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,188
"BREVAL, Jean Baptiste",1756-1825,Sinfonia concertante Op.31 F-Dur,"f.Flote,Fagott u.Streicher",,,"0,00","Flote,Fagott","Palmisano,Vernizzi",Angerer,SWD Kamorch.Pforzh.,, 1926,Con Dy 4015,101,,208
"BREVAL, Jean Baptiste",1756-1825,Sinfonia concertante Op.38 F-Dur,"f.Klarinette,Horn,Fagott u.Streicher",,,"0,00","Klarinette,Horn,Fagott","Mariozzi,Sedlak,Vernizzi",Angerer,SWD Kamorch.Pforzh.,, 1926,Con Dy 4015,,,209
"BRIXI, Franz Xaver",1732-1771,Motette pastorale,,,,"0,00",,,Smetacek,Rd.S.Orch.Bratislava,Chor Konservat.Prag, 1969,Schw  0 857,,,210
"BRIXI, Hieronymus",1738-1803,Offertorium de Beata Virgine Maria,,,,"0,00",,,Smetacek,Rd.S.Orch.Bratislava,Chor Konservat.Prag, 1969,Schw  0 857,,,211
"BRIXI, Simon",1693-1735,Offertorium solemne de Epiphania Domini,,,,"0,00",,,Smetacek,Rd.S.Orch.Bratislava,Chor Konservat.Prag, 1969,Schw  0 857,,,212
"BUFFARDIN, Pier-Gabriel",1689-1768,Concerto in e,,,,"12,26",Flote,Hazelzet,Goebel,Musica Antiqua Koln,, 1939,DG 2534 010,108,,194
"CANNABICH, Johann Christian",1731-1798,Sinfoniae concertante,,"C-Dur f.Flote,Oboe,Fagott u.Orchester",,"8,40","Flote,Fagott,Oboe","Nicolet,Sax,Holliger",Furi,Camerata Bern,, 1938,DG 2533 470, 76,,195
"CHARPENTIER, Jaques Marie (Beauvarl",1766-1834,Magnificat F-Dur f.Orgel,,,,"0,00",Orgel,Krumbach,,,, 1978 (2LP),UNS 22783/4,,,215
"CHERUBINI, Luigi",1760-1842,Sinfonie D-Dur,,,,"27,11",,,Schwarz,Los Angeles Chamb.Orch.,, 1976,TIS No 79023,,,197
"CLERAMBAULT, Louis-Nicolas",1676-1749,La Musette (Kantate),,,,"0,00",,"Bondi,Lutzen,Krumbach",,,, 1978 (2LP),UNS 22783/4,,,217
"CORRETTE, Michel (fils)", um -1790,Der Donner,(Offertorium f.Orgel),,,"0,00",Orgel,Krumbach,,,, 1978 (2LP),UNS 22783/4,,,218
"CORRETTE, Michel",1709-1795,Konzerte Op. 4 Nr.1-6,,Nr.3 C-Dur,,"0,00",,,Koch,Unisono-Kamorch.,, 1978 (2LP),UNS 22783/4,,,219
"CORRETTE, Michel",1709-1795,Les Sauvages et la Furstemberg,(Concerto comique),,,"9,12",,,Goebel,Musica Antiqua Koln,, 1939,DG 2534 010,,,201
"CRUSELL, Bernhard Henrik",1775-1838,Konzerte f.Klarinette u.Orchester,,Nr.1 Op.1 Es-Dur,,"22,26",Klarinette,King,Francis,London Symph.Orch.,, 1927,Con Hy 66055,106,108,202
"CRUSELL, Bernhard Henrik",1775-1838,Konzerte f.Klarinette u.Orchester,,Nr.3 Op.11 B-Dur,,"24,33",Klarinette,King,Francis,London Symph.Orch.,, 1927,Con Hy 66055, 93,,203
"CRUSELL, Bernhard Henrik",1775-1838,Sinfonia concertante Op.3 B-Dur,"f.Klarinette,Horn,Fagott u.Orchester",,,"29,20","Klarinette,Horn,Fagott","Schill,Linder,Nilsson",Macal,Goteborgs Sinf.Orch.,, 1935,DC Cap 1144,109,,204
"DANZI, Franz",1783-1826,Konzerte f.Flote u.Orchester Nr.1-4,,Nr.1 G-Dur Op.30,,"15,40",Flote,Adorjan,Stadlmair,Munchen.Kamorch.,, 1949 (2LP),Orf H 003 812,,,205
"DANZI, Franz",1783-1826,Konzerte f.Flote u.Orchester Nr.1-4,,Nr.2 d-moll Op.31,,"18,20",Flote,Adorjan,Stadlmair,Munchen.Kamorch.,, 1949 (2LP),Orf H 003 812,,,206
"DANZI, Franz",1783-1826,Konzerte f.Flote u.Orchester Nr.1-4,,Nr.3 d-moll Op.42,,"16,20",Flote,Adorjan,Stadlmair,Munchen.Kamorch.,, 1949 (2LP),Orf H 003 812,,,207
"DANZI, Franz",1783-1826,Konzerte f.Flote u.Orchester Nr.1-4,,Nr.4 D-Dur Op.43,,"21,37",Flote,Adorjan,Stadlmair,Munchen.Kamorch.,, 1949 (2LP),Orf H 003 812, 95,,208
"DUSCHEK, Franz Xaver (Dusek)",1731-1799,Konzerte f.Klavier u.Orchester,,"D-Dur Allegro,Largo,Allegro",,"20,68",Klavier,Novotny,Pesek,Kamorch.Perdubice,,Q 274,Supra CO  2059, 93,,209
"DUSCHEK, Franz Xaver (Dusek)",1731-1799,Konzerte f.Klavier u.Orchester,,"Es-Dur Allegro,Adagio,Allegro",,"21,22",Klavier,Novotny,Pesek,Kamorch.Perdubice,,Q 274,Supra CO  2059,106,,210
"DVORAK, Antonin",1841-1904,Lieder Op.29 Nr.1-4,(f.gemischten Chor),Nr.1 Abendsegen,,"2,30",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,211
"DVORAK, Antonin",1841-1904,Lieder Op.29 Nr.1-4,(f.gemischten Chor),Nr.2 Wiegenlied,,"2,37",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,212
"DVORAK, Antonin",1841-1904,Lieder Op.29 Nr.1-4,(f.gemischten Chor),Nr.3 Am Brunnlein,,"2,52",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,213
"DVORAK, Antonin",1841-1904,Lieder Op.29 Nr.1-4,(f.gemischten Chor),Nr.4 Weidenbusch,,"3,00",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,214
"DVORAK, Antonin",1841-1904,Lieder Op.63 Nr.1-5,(Chorlieder-Zyklus in der Natur),Nr.1 Es zog manch Lied,,"2,12",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,215
"DVORAK, Antonin",1841-1904,Lieder Op.63 Nr.1-5,(Chorlieder-Zyklus in der Natur),Nr.2 Im Haine,,"4,21",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,112,,216
"DVORAK, Antonin",1841-1904,Lieder Op.63 Nr.1-5,(Chorlieder-Zyklus in der Natur),Nr.3 Goldne Fluren,,"0,56",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,217
"DVORAK, Antonin",1841-1904,Lieder Op.63 Nr.1-5,(Chorlieder-Zyklus in der Natur),Nr.5 Ein Sommertag,,"2,59",,,Beringer,,Amadeus Chor, 1924,BR 670 05001,,,218
"EDER, Helmut",1916-,"Konzert f.Violoncello,Kontrabass u.Orchester",Op.70,,,"24,11","V'cello,Kontrabass","Baumann,Stoll",Lopez-Cobos,RSO Berlin,, 1975,Tel 6.42853,,,219
"EKLUND, Hans",1927-,Konzert f.Horn u.Orchester (1979),,,,"10,55",Horn,Linder,Dutoit,Goteborgs Sinf.Orch.,, 1935,DC Cap 1144,,,220
"ELGAR, Edward",1857-1934,Pomp and Circumstance Op.39 (Militarmarsche),,Nr.5 C-Dur,,"5,35",,,Previn,Royal Philh.Orch.,,Q 248,Ph  416 813-2,,,221
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Partiten Op.45,,Nr.1 B-Dur,,"19,09",,,Weiering,J.Triebensee Ensemble,,Q 608,Hek Etc 1141,,,222
"LEBRUN, Ludwig August",1752-1790,Konzerte f.Oboe (Flote) u.Orchester Nr.1-7,,Nr.1 d-moll,,"0,00",Flote,Brohl,Corazolla,Rhein.Kamorch.Koln,, 2093,Aul 68522,,,0
"MOZART, Wolfgang Amadeus",1756-1791,Rondo f.Flote u.Orchester KV 184 Anh.,,,,"0,00",Flote,Brohl,Corazolla,Rhein.Kamorch.Koln,, 2093,Aul 68522,,,0
"SCHWINDL, Friedrich",1737-1786,Konzert f.Flote u.Orchester D-Dur,,,,"0,00",Flote,Brohl,Carazolla,Rhein.Kamorch.Koln,, 2093,Aul 68522,,,0
"FUX, Johann Joseph",1660-1741,Serenade e-moll,,,,"0,00",,,Starek,Rias Sinfonietta,, 1970,Schw  2 000,,,247
"GIORNOVICHI, Giov.Mane (Jarnovic)",1740-1804,Konzerte f.Violine u.Orchester,,Nr. 1 A-Dur,,"0,00",Violine,Kohlhausen,Kohlhausen,Fonte di Musica,, 1968,Schw 90 012,106,,248
"GOSSEC, Francois-Joseph",1734-1829,Suite de Noels (f.Orchester),,Nr.1 A-Dur,,"0,00",,,Koch,Unisono-Kamorch.,, 1978 (2LP),UNS 22783/4,,,249
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Partiten Op.45,,Nr.3 B-Dur,,"16,39",,,Weiering,J.Triebensee Ensemble,,Q 608,Hek Etc 1141,,,229
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Partita Es-Dur,,,,"16,15",,,Weiering,J.Triebensee Ensemble,,Q 608,Hek Etc 1141,,,230
"GRAUPNER, Johann Christoph",1683-1760,Suite B-Dur (Ouverture),"f.Chalumeau,Streicher u.B.c.",,,"17,05",Chalumeau,Stalder,Muller-Bruhl,Capella Clementina,, 1955,Ph 9502 072,,,231
"GRESNICK, Antoine Frederic",1755-1799,Konzert f.Cembalo u.Orchester D-Dur,,,,"19,44",Cembalo,Jaccottet,Cartigny,Sinf.Orch.Luttich,, 1962 (2LP),Schw  0 732,,,232
"HANDEL, Georg Friedrich",1685-1759,Feuerwerksmusik  (Orchesterkonzert Nr.26),,,,"22,28",,,Richter,English Chamb.Orch.,, 1940,DG 2533 151,,,233
"HANDEL, Georg Friedrich",1685-1759,Psalm 42,As Pants The Hart For Cooling Streams,,,"22,40",,,Mann,Colleg.Mus.Rutgers,Chor Univ.N.Brunswick, 1992,JSV 610 319,,,234
"HANDEL, Georg Friedrich",1685-1759,Psalm 96,O Sing Onto The Lord A New Song,,,"16,13",,,Mann,Colleg.Mus.Rutgers,Chor Univ.N.Brunswick, 1992,JSV 610 319,,,235
"HEUBERGER, Richard",1850-1914,Nachtmusik,,,,"0,00",,,Starek,Rias Sinfonietta,, 1970,Schw  2 000,,,260
"HAYDN, Joseph",1732-1809,Contredanses 1-5 u.Quadrille,H 9:29,,,"0,00",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,261
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 1 G-Dur,,"0,45",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,238
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 2 B-Dur,,"0,43",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,239
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 3 G-Dur,,"0,45",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,240
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 4 C-Dur,,"1,53",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,241
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 5 A-Dur,,"0,45",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,242
"HAYDN, Joseph",1732-1809,Deutsche Tanze H 9:12,,Nr. 6,,"0,00",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,267
"HAYDN, Joseph",1732-1809,Divertimenti H 2 (f.verschied.Besetzungen),,Nr.D 5 D-Dur (Notturno),,"0,00",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,268
"HAYDN, Joseph",1732-1809,Divertimenti H14,f.Klavier (Cembalo) u.Streicher (u.Blaser),Nr.C 2 C-Dur,,"2,32",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,245
"HAYDN, Joseph",1732-1809,Divertimenti H14,f.Klavier (Cembalo) u.Streicher (u.Blaser),Nr.  4 C-Dur (Concertino),,"9,11",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,246
"HAYDN, Joseph",1732-1809,Divertimenti H14,f.Klavier (Cembalo) u.Streicher (u.Blaser),Nr. 12 C-Dur (Concertino),,"9,26",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,247
"HAYDN, Joseph",1732-1809,Divertimenti H14,f.Klavier (Cembalo) u.Streicher (u.Blaser),Nr. 13 G-Dur (Concertino),,"9,06",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,248
"HAYDN, Joseph",1732-1809,Die Jahreszeiten (Oratorium),,Landler,,"0,00",,,Dittrich,Ens.Bella Mus.Wien,, 1945,HM F 1057,,,273
"HAYDN, Joseph",1732-1809,Konzerte f.Klavier u.Streicher H 18,(f.Tasteninstrumente),Nr.  4 G-Dur,,"18,40",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,250
"HAYDN, Joseph",1732-1809,Konzerte f.Klavier u.Streicher H 18,(f.Tasteninstrumente),Nr.  3 F-Dur,,"20,40",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,251
"HAYDN, Joseph",1732-1809,Konzerte f.Klavier u.Streicher H 18,(f.Tasteninstrumente),Nr.  5 C-Dur,,"10,50",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,252
"HAYDN, Joseph",1732-1809,Konzerte f.Klavier u.Streicher H 18,(f.Tasteninstrumente),Nr.  7 F-Dur,,"12,14",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,253
"HAYDN, Joseph",1732-1809,Konzerte f.Klavier u.Streicher H 18,(f.Tasteninstrumente),Nr.  9 G-Dur,,"18,34",Klavier,Entremont,Entremont,Wiener Kamorch.,, 1971 (3LP),Tel 6.35604,,,254
